neuronId,neuronName,className,neuronTypeName
1,ADAL,ADA,INTERNEURON
2,ADAR,ADA,INTERNEURON
3,ADEL,ADE,SENSORY_NEURON
4,ADER,ADE,SENSORY_NEURON
5,ADFL,ADF,SENSORY_NEURON
6,ADFR,ADF,SENSORY_NEURON
7,ADLL,ADL,SENSORY_NEURON
8,ADLR,ADL,SENSORY_NEURON
9,AFDL,AFD,SENSORY_NEURON
10,AFDR,AFD,SENSORY_NEURON
11,AIAL,AIA,INTERNEURON
12,AIAR,AIA,INTERNEURON
13,AIBL,AIB,INTERNEURON
14,AIBR,AIB,INTERNEURON
15,AIML,AIM,INTERNEURON
16,AIMR,AIM,INTERNEURON
17,AINL,AIN,INTERNEURON
18,AINR,AIN,INTERNEURON
19,AIYL,AIY,INTERNEURON
20,AIYR,AIY,INTERNEURON
21,AIZL,AIZ,INTERNEURON
22,AIZR,AIZ,INTERNEURON
23,ALA,ALA,INTERNEURON
24,ALML,ALM,SENSORY_NEURON
25,ALMR,ALM,SENSORY_NEURON
26,ALNL,ALN,SENSORY_NEURON
27,ALNR,ALN,SENSORY_NEURON
28,AQR,AQR,SENSORY_NEURON
29,AS01,AS,MOTOR_NEURON
30,AS02,AS,MOTOR_NEURON
31,AS03,AS,MOTOR_NEURON
32,AS04,AS,MOTOR_NEURON
33,AS05,AS,MOTOR_NEURON
34,AS06,AS,MOTOR_NEURON
35,AS07,AS,MOTOR_NEURON
36,AS08,AS,MOTOR_NEURON
37,AS09,AS,MOTOR_NEURON
38,AS10,AS,MOTOR_NEURON
39,AS11,AS,MOTOR_NEURON
40,ASEL,ASE,SENSORY_NEURON
41,ASER,ASE,SENSORY_NEURON
42,ASGL,ASG,SENSORY_NEURON
43,ASGR,ASG,SENSORY_NEURON
44,ASHL,ASH,SENSORY_NEURON
45,ASHR,ASH,SENSORY_NEURON
46,ASIL,ASI,SENSORY_NEURON
47,ASIR,ASI,SENSORY_NEURON
48,ASJL,ASJ,SENSORY_NEURON
49,ASJR,ASJ,SENSORY_NEURON
50,ASKL,ASK,SENSORY_NEURON
51,ASKR,ASK,SENSORY_NEURON
52,AUAL,AUA,SENSORY_NEURON
53,AUAR,AUA,SENSORY_NEURON
54,AVAL,AVA,INTERNEURON
55,AVAR,AVA,INTERNEURON
56,AVBL,AVB,INTERNEURON
57,AVBR,AVB,INTERNEURON
58,AVDL,AVD,INTERNEURON
59,AVDR,AVD,INTERNEURON
60,AVEL,AVE,INTERNEURON
61,AVER,AVE,INTERNEURON
62,AVFL,AVF,INTERNEURON
63,AVFR,AVF,INTERNEURON
64,AVG,AVG,INTERNEURON
65,AVHL,AVH,INTERNEURON
66,AVHR,AVH,INTERNEURON
67,AVJL,AVJ,INTERNEURON
68,AVJR,AVJ,INTERNEURON
69,AVKL,AVK,INTERNEURON
70,AVKR,AVK,INTERNEURON
71,AVL,AVL,INTERNEURON
72,AVM,AVM,SENSORY_NEURON
73,AWAL,AWA,SENSORY_NEURON
74,AWAR,AWA,SENSORY_NEURON
75,AWBL,AWB,SENSORY_NEURON
76,AWBR,AWB,SENSORY_NEURON
77,AWCL,AWC,SENSORY_NEURON
78,AWCR,AWC,SENSORY_NEURON
79,BAGL,BAG,SENSORY_NEURON
80,BAGR,BAG,SENSORY_NEURON
81,BDUL,BDU,INTERNEURON
82,BDUR,BDU,INTERNEURON
83,CANL,CAN,INTERNEURON
84,CANR,CAN,INTERNEURON
85,CEPDL,CEP,SENSORY_NEURON
86,CEPDR,CEP,SENSORY_NEURON
87,CEPVL,CEP,SENSORY_NEURON
88,CEPVR,CEP,SENSORY_NEURON
89,DA01,DA,MOTOR_NEURON
90,DA02,DA,MOTOR_NEURON
91,DA03,DA,MOTOR_NEURON
92,DA04,DA,MOTOR_NEURON
93,DA05,DA,MOTOR_NEURON
94,DA06,DA,MOTOR_NEURON
95,DA07,DA,MOTOR_NEURON
96,DA08,DA,MOTOR_NEURON
97,DA09,DA,MOTOR_NEURON
98,DB01,DB,MOTOR_NEURON
99,DB02,DB,MOTOR_NEURON
100,DB03,DB,MOTOR_NEURON
101,DB04,DB,MOTOR_NEURON
102,DB05,DB,MOTOR_NEURON
103,DB06,DB,MOTOR_NEURON
104,DB07,DB,MOTOR_NEURON
105,DD01,DD,MOTOR_NEURON
106,DD02,DD,MOTOR_NEURON
107,DD03,DD,MOTOR_NEURON
108,DD04,DD,MOTOR_NEURON
109,DD05,DD,MOTOR_NEURON
110,DD06,DD,MOTOR_NEURON
111,DVA,DVA,INTERNEURON
112,DVB,DVB,INTERNEURON
113,DVC,DVC,INTERNEURON
114,FLPL,FLP,SENSORY_NEURON
115,FLPR,FLP,SENSORY_NEURON
116,HSNL,HSN,MOTOR_NEURON
117,HSNR,HSN,MOTOR_NEURON
118,I1L,I1,PHARYNX
119,I1R,I1,PHARYNX
120,I2L,I2,PHARYNX
121,I2R,I2,PHARYNX
122,I3,I3,PHARYNX
123,I4,I4,PHARYNX
124,I5,I5,PHARYNX
125,I6,I6,PHARYNX
126,IL1DL,IL1,SENSORY_NEURON
127,IL1DR,IL1,SENSORY_NEURON
128,IL1VL,IL1,SENSORY_NEURON
129,IL1VR,IL1,SENSORY_NEURON
130,IL1L,IL1,SENSORY_NEURON
131,IL1R,IL1,SENSORY_NEURON
132,IL2DL,IL2,SENSORY_NEURON
133,IL2DR,IL2,SENSORY_NEURON
134,IL2VL,IL2,SENSORY_NEURON
135,IL2VR,IL2,SENSORY_NEURON
136,IL2L,IL2,SENSORY_NEURON
137,IL2R,IL2,SENSORY_NEURON
138,LUAL,LUA,INTERNEURON
139,LUAR,LUA,INTERNEURON
140,M1,M1,PHARYNX
141,M2L,M2,PHARYNX
142,M2R,M2,PHARYNX
143,M3L,M3,PHARYNX
144,M3R,M3,PHARYNX
145,M4,M4,PHARYNX
146,M5,M5,PHARYNX
147,MCL,MC,PHARYNX
148,MCR,MC,PHARYNX
149,MI,MI,PHARYNX
150,NSML,NSM,PHARYNX
151,NSMR,NSM,PHARYNX
152,OLLL,OLL,SENSORY_NEURON
153,OLLR,OLL,SENSORY_NEURON
154,OLQDL,OLQ,SENSORY_NEURON
155,OLQDR,OLQ,SENSORY_NEURON
156,OLQVL,OLQ,SENSORY_NEURON
157,OLQVR,OLQ,SENSORY_NEURON
158,PDA,PDA,MOTOR_NEURON
159,PDB,PDB,MOTOR_NEURON
160,PDEL,PDE,SENSORY_NEURON
161,PDER,PDE,SENSORY_NEURON
162,PHAL,PHA,SENSORY_NEURON
163,PHAR,PHA,SENSORY_NEURON
164,PHBL,PHB,SENSORY_NEURON
165,PHBR,PHB,SENSORY_NEURON
166,PHCL,PHC,SENSORY_NEURON
167,PHCR,PHC,SENSORY_NEURON
168,PLML,PLM,SENSORY_NEURON
169,PLMR,PLM,SENSORY_NEURON
170,PLNL,PLN,SENSORY_NEURON
171,PLNR,PLN,SENSORY_NEURON
172,PQR,PQR,SENSORY_NEURON
173,PVCL,PVC,INTERNEURON
174,PVCR,PVC,INTERNEURON
175,PVDL,PVD,SENSORY_NEURON
176,PVDR,PVD,SENSORY_NEURON
177,PVM,PVM,SENSORY_NEURON
178,PVNL,PVN,INTERNEURON
179,PVNR,PVN,INTERNEURON
180,PVPL,PVP,INTERNEURON
181,PVPR,PVP,INTERNEURON
182,PVQL,PVQ,INTERNEURON
183,PVQR,PVQ,INTERNEURON
184,PVR,PVR,INTERNEURON
185,PVT,PVT,INTERNEURON
186,PVWL,PVW,INTERNEURON
187,PVWR,PVW,INTERNEURON
188,RIAL,RIA,INTERNEURON
189,RIAR,RIA,INTERNEURON
190,RIBL,RIB,INTERNEURON
191,RIBR,RIB,INTERNEURON
192,RICL,RIC,INTERNEURON
193,RICR,RIC,INTERNEURON
194,RID,RID,INTERNEURON
195,RIFL,RIF,INTERNEURON
196,RIFR,RIF,INTERNEURON
197,RIGL,RIG,INTERNEURON
198,RIGR,RIG,INTERNEURON
199,RIH,RIH,INTERNEURON
200,RIML,RIM,MOTOR_NEURON
201,RIMR,RIM,MOTOR_NEURON
202,RIPL,RIP,INTERNEURON
203,RIPR,RIP,INTERNEURON
204,RIR,RIR,INTERNEURON
205,RIS,RIS,INTERNEURON
206,RIVL,RIV,MOTOR_NEURON
207,RIVR,RIV,MOTOR_NEURON
208,RMDDL,RMD,MOTOR_NEURON
209,RMDDR,RMD,MOTOR_NEURON
210,RMDL,RMD,MOTOR_NEURON
211,RMDR,RMD,MOTOR_NEURON
212,RMDVL,RMD,MOTOR_NEURON
213,RMDVR,RMD,MOTOR_NEURON
214,RMED,RME,MOTOR_NEURON
215,RMEV,RME,MOTOR_NEURON
216,RMEL,RME,MOTOR_NEURON
217,RMER,RME,MOTOR_NEURON
218,RMFL,RMF,MOTOR_NEURON
219,RMFR,RMF,MOTOR_NEURON
220,RMGL,RMG,INTERNEURON
221,RMGR,RMG,INTERNEURON
222,RMHL,RMH,MOTOR_NEURON
223,RMHR,RMH,MOTOR_NEURON
224,SAADL,SAA,MOTOR_NEURON
225,SAADR,SAA,MOTOR_NEURON
226,SAAVL,SAA,MOTOR_NEURON
227,SAAVR,SAA,MOTOR_NEURON
228,SABD,SAB,MOTOR_NEURON
229,SABVL,SAB,MOTOR_NEURON
230,SABVR,SAB,MOTOR_NEURON
231,SDQL,SDQ,INTERNEURON
232,SDQR,SDQ,INTERNEURON
233,SIADL,SIA,INTERNEURON
234,SIADR,SIA,INTERNEURON
235,SIAVL,SIA,INTERNEURON
236,SIAVR,SIA,INTERNEURON
237,SIBDL,SIB,INTERNEURON
238,SIBDR,SIB,INTERNEURON
239,SIBVL,SIB,INTERNEURON
240,SIBVR,SIB,INTERNEURON
241,SMBDL,SMB,MOTOR_NEURON
242,SMBDR,SMB,MOTOR_NEURON
243,SMBVL,SMB,MOTOR_NEURON
244,SMBVR,SMB,MOTOR_NEURON
245,SMDDL,SMD,MOTOR_NEURON
246,SMDDR,SMD,MOTOR_NEURON
247,SMDVL,SMD,MOTOR_NEURON
248,SMDVR,SMD,MOTOR_NEURON
249,URADL,URA,MOTOR_NEURON
250,URADR,URA,MOTOR_NEURON
251,URAVL,URA,MOTOR_NEURON
252,URAVR,URA,MOTOR_NEURON
253,URBL,URB,INTERNEURON
254,URBR,URB,INTERNEURON
255,URXL,URX,SENSORY_NEURON
256,URXR,URX,SENSORY_NEURON
257,URYDL,URY,SENSORY_NEURON
258,URYDR,URY,SENSORY_NEURON
259,URYVL,URY,SENSORY_NEURON
260,URYVR,URY,SENSORY_NEURON
261,VA01,VA,MOTOR_NEURON
262,VA02,VA,MOTOR_NEURON
263,VA03,VA,MOTOR_NEURON
264,VA04,VA,MOTOR_NEURON
265,VA05,VA,MOTOR_NEURON
266,VA06,VA,MOTOR_NEURON
267,VA07,VA,MOTOR_NEURON
268,VA08,VA,MOTOR_NEURON
269,VA09,VA,MOTOR_NEURON
270,VA10,VA,MOTOR_NEURON
271,VA11,VA,MOTOR_NEURON
272,VA12,VA,MOTOR_NEURON
273,VB01,VB,MOTOR_NEURON
274,VB02,VB,MOTOR_NEURON
275,VB03,VB,MOTOR_NEURON
276,VB04,VB,MOTOR_NEURON
277,VB05,VB,MOTOR_NEURON
278,VB06,VB,MOTOR_NEURON
279,VB07,VB,MOTOR_NEURON
280,VB08,VB,MOTOR_NEURON
281,VB09,VB,MOTOR_NEURON
282,VB10,VB,MOTOR_NEURON
283,VB11,VB,MOTOR_NEURON
284,VC01,VC,MOTOR_NEURON
285,VC02,VC,MOTOR_NEURON
286,VC03,VC,MOTOR_NEURON
287,VC04,VC,MOTOR_NEURON
288,VC05,VC,MOTOR_NEURON
289,VC06,VC,MOTOR_NEURON
290,VD01,VD,MOTOR_NEURON
291,VD02,VD,MOTOR_NEURON
292,VD03,VD,MOTOR_NEURON
293,VD04,VD,MOTOR_NEURON
294,VD05,VD,MOTOR_NEURON
295,VD06,VD,MOTOR_NEURON
296,VD07,VD,MOTOR_NEURON
297,VD08,VD,MOTOR_NEURON
298,VD09,VD,MOTOR_NEURON
299,VD10,VD,MOTOR_NEURON
300,VD11,VD,MOTOR_NEURON
301,VD12,VD,MOTOR_NEURON
302,VD13,VD,MOTOR_NEURON
